id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
4483,Finance,8.46,211.6,6,6.92,-4.7,8.58,4.62,5.47,4.81,3.48,0.0047,1.848,5.38,60.66,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4484,Studying,7.84,298.0,2,8.35,-2.37,8.62,2.84,5.13,3.82,7.99,0.0033,0.33,7.16,52.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4485,Career Choice,6.29,133.4,2,5.36,2.37,6.93,6.25,5.12,8.98,4.74,0.0074,0.928,3.75,40.27,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4486,Creative Project,1.99,137.0,9,7.06,3.91,5.98,4.91,0.37,5.71,2.6,0.0072,2.646,5.09,30.47,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4487,Finance,2.12,4.4,11,3.03,3.14,6.58,1.24,3.84,8.81,4.29,0.1852,7.667,8.76,57.66,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4488,Health Checkup,7.38,140.4,1,4.01,2.81,2.05,3.35,1.75,2.75,4.11,0.0071,0.599,6.65,43.03,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4489,Creative Project,6.94,73.6,7,4.23,3.67,6.95,3.42,4.23,3.18,5.87,0.0134,4.039,6.58,46.14,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4490,Finance,9.02,193.2,0,2.02,0.16,6.3,6.96,5.17,7.13,2.08,0.0051,0.0,3.04,49.44,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4491,Studying,3.1,173.0,5,8.9,4.36,2.08,1.84,1.6,3.48,6.67,0.0057,0.55,8.16,48.5,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4492,Finance,1.11,170.1,12,7.86,-3.55,5.03,7.95,2.64,3.21,5.59,0.0058,2.568,2.05,40.92,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4493,Health Checkup,6.81,307.3,11,1.62,1.75,1.72,7.63,5.03,9.44,2.63,0.0032,9.218,2.37,86.81,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4494,Fitness,3.75,189.7,10,8.33,-2.61,3.18,6.43,3.21,8.89,6.06,0.0052,1.67,3.57,61.18,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4495,Finance,8.93,214.1,7,2.0,2.59,8.01,9.75,4.09,4.07,6.6,0.0046,5.6,0.25,65.22,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4496,Fitness,1.13,285.4,10,2.68,-2.05,1.33,7.88,3.12,7.36,5.85,0.0035,7.32,2.12,76.51,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4497,Creative Project,8.46,359.4,10,8.07,-2.61,4.92,3.48,1.73,3.02,9.01,0.0028,1.93,6.52,87.74,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4498,Fitness,8.56,269.8,7,6.17,-1.68,8.07,1.82,1.53,3.21,4.13,0.0037,2.681,8.18,65.7,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4499,Fitness,3.09,183.1,12,2.46,-4.18,8.79,8.71,3.78,9.35,5.38,0.0054,9.048,1.29,79.88,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4500,Finance,5.98,364.7,6,2.58,-4.08,9.53,1.08,0.56,2.48,5.63,0.0027,4.452,8.92,83.55,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4501,Fitness,8.41,98.1,7,8.56,1.56,4.33,7.47,3.91,7.01,2.92,0.0101,1.008,2.53,37.98,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4502,Studying,8.45,47.1,12,7.27,3.89,3.33,6.7,0.83,3.16,3.31,0.0208,3.276,3.3,53.43,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4503,Health Checkup,4.39,335.5,9,3.94,0.9,8.2,1.74,5.0,3.57,9.46,0.003,5.454,8.26,70.92,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4504,Health Checkup,3.31,99.5,11,6.26,2.35,4.39,4.17,2.93,2.32,9.09,0.01,4.114,5.83,55.07,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4505,Fitness,3.6,91.9,4,9.92,1.79,4.48,4.25,1.58,3.31,1.02,0.0108,0.032,5.75,14.39,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4506,Career Choice,8.32,119.2,4,3.71,-1.95,6.94,4.27,2.03,1.61,3.63,0.0083,2.516,5.73,47.55,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4507,Career Choice,2.44,49.6,8,7.81,0.34,7.97,3.68,2.08,1.15,6.04,0.0198,1.752,6.32,24.2,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4508,Studying,9.06,91.6,1,5.28,0.58,1.55,3.14,3.68,3.01,4.93,0.0108,0.472,6.86,46.26,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4509,Health Checkup,6.56,182.5,4,5.74,1.15,4.88,5.35,6.0,7.74,9.97,0.0054,1.704,4.65,56.48,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4510,Creative Project,2.1,132.5,2,2.47,-3.84,9.96,9.74,5.93,1.01,2.83,0.0075,1.506,0.26,5.47,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4511,Health Checkup,7.1,100.8,1,2.67,-0.25,1.8,9.77,5.17,9.22,1.39,0.0098,0.733,0.23,37.32,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4512,Career Choice,9.23,218.9,5,2.95,-0.22,9.43,1.47,2.72,2.45,6.36,0.0045,3.525,8.53,79.15,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4513,Health Checkup,6.01,229.0,7,9.44,-2.9,9.56,2.43,5.96,5.78,9.24,0.0043,0.392,7.57,59.48,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4514,Studying,9.71,168.2,5,7.14,0.46,7.85,2.61,2.64,3.04,9.53,0.0059,1.43,7.39,50.2,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4515,Health Checkup,6.43,292.1,12,7.89,3.79,7.27,6.01,2.24,5.57,7.35,0.0034,2.532,3.99,64.45,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4516,Health Checkup,5.64,259.3,1,5.75,4.12,7.99,6.41,1.8,6.05,5.47,0.0038,0.425,3.59,33.72,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4517,Creative Project,6.04,104.5,12,6.78,-0.88,1.9,6.92,3.63,6.9,9.84,0.0095,3.864,3.08,69.46,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4518,Career Choice,2.69,113.0,3,3.55,1.77,7.12,7.92,2.81,6.63,3.43,0.0088,1.935,2.08,22.31,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4519,Health Checkup,7.07,79.1,4,2.33,2.75,8.28,9.74,5.06,1.29,1.22,0.0125,3.068,0.26,29.04,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4520,Creative Project,1.73,270.4,12,5.14,-3.88,1.93,2.2,3.98,1.03,5.64,0.0037,5.832,7.8,67.64,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4521,Creative Project,5.48,350.7,4,3.29,0.03,8.39,7.63,5.56,2.07,2.22,0.0028,2.684,2.37,51.36,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4522,Studying,4.29,226.3,8,9.48,-0.68,6.0,1.7,1.09,8.66,6.12,0.0044,0.416,8.3,58.63,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4523,Health Checkup,8.52,240.7,7,7.89,4.96,2.91,6.61,1.26,1.34,4.46,0.0041,1.477,3.39,64.7,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4524,Health Checkup,6.66,28.6,2,8.35,0.4,0.85,9.41,3.5,5.44,6.19,0.0338,0.33,0.59,21.11,Low,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
4525,Fitness,4.84,131.1,0,9.38,3.79,0.48,4.35,1.96,1.19,2.3,0.0076,0.0,5.65,12.82,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4526,Finance,4.51,43.2,2,3.0,-1.11,3.4,5.24,0.78,9.85,1.17,0.0226,1.4,4.76,47.32,Medium,External Distractions,"Environment design: phone in another room, website blockers.",1
4527,Finance,8.74,274.0,5,5.24,-1.88,5.86,9.38,2.98,6.79,5.94,0.0036,2.38,0.62,68.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4528,Finance,9.74,298.3,1,7.71,0.47,8.02,4.29,0.68,4.5,8.75,0.0033,0.229,5.71,51.69,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4529,Studying,1.96,216.4,1,5.82,-3.08,1.94,8.68,5.84,3.97,2.02,0.0046,0.418,1.32,20.65,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4530,Studying,6.36,190.5,0,7.7,-2.94,7.55,1.78,1.14,2.38,4.97,0.0052,0.0,8.22,34.35,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4531,Career Choice,1.33,285.7,10,3.65,2.23,1.74,4.15,5.22,2.37,2.44,0.0035,6.35,5.85,51.39,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4532,Career Choice,8.64,292.7,5,9.58,2.55,6.72,5.45,1.53,1.69,6.42,0.0034,0.21,4.55,48.31,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4533,Career Choice,4.34,328.3,0,2.86,-1.62,3.55,7.73,5.16,3.54,8.5,0.003,0.0,2.27,48.56,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4534,Studying,4.97,360.7,4,4.93,-0.48,3.84,8.61,1.21,9.2,5.34,0.0028,2.028,1.39,65.56,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4535,Fitness,5.44,235.2,9,1.11,3.05,9.95,4.02,1.21,2.29,7.52,0.0042,8.001,5.98,63.75,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4536,Studying,7.23,131.7,12,4.84,4.7,1.47,3.6,2.84,1.47,3.45,0.0075,6.192,6.4,59.68,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4537,Finance,1.75,307.4,10,9.34,-4.6,6.47,3.61,4.57,5.6,5.37,0.0032,0.66,6.39,59.64,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4538,Studying,1.62,156.6,1,4.13,3.46,2.35,8.96,3.72,2.67,1.83,0.0063,0.587,1.04,17.05,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4539,Creative Project,6.75,346.2,5,3.52,-3.16,0.05,4.13,4.14,3.35,8.57,0.0029,3.24,5.87,91.29,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4540,Finance,6.5,288.1,11,5.72,3.38,0.27,8.24,1.64,5.75,7.74,0.0035,4.708,1.76,80.89,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4541,Career Choice,9.87,235.6,3,4.84,-1.79,6.34,5.03,4.65,5.04,6.09,0.0042,1.548,4.97,63.14,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4542,Creative Project,5.35,49.0,11,3.63,-3.38,5.81,9.85,4.45,8.63,2.92,0.02,7.007,0.15,51.7,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4543,Health Checkup,2.51,174.5,6,5.64,0.85,4.95,7.05,2.13,8.26,9.01,0.0057,2.616,2.95,43.23,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4544,Finance,5.7,234.1,6,9.17,-0.19,1.81,3.86,0.58,5.6,4.0,0.0043,0.498,6.14,52.32,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4545,Fitness,5.89,147.8,7,5.7,2.78,8.86,3.35,0.87,8.62,9.06,0.0067,3.01,6.65,68.49,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4546,Studying,7.11,312.6,12,3.55,-0.18,6.46,6.78,3.8,2.39,4.03,0.0032,7.74,3.22,69.89,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4547,Studying,4.95,39.0,0,7.51,2.28,6.23,8.13,5.24,6.77,2.71,0.025,0.0,1.87,10.37,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4548,Fitness,8.21,204.4,7,4.16,-4.44,2.04,2.63,3.49,3.21,1.69,0.0049,4.088,7.37,68.84,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4549,Creative Project,6.68,24.2,4,8.26,-2.26,9.65,6.6,3.02,7.39,8.48,0.0397,0.696,3.4,33.04,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4550,Creative Project,3.6,240.3,3,4.85,-1.72,9.53,4.49,4.74,3.0,7.38,0.0041,1.545,5.51,39.47,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4551,Creative Project,5.72,216.1,0,1.64,-4.09,0.78,2.71,0.44,3.24,7.36,0.0046,0.0,7.29,68.45,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4552,Fitness,6.57,37.4,4,4.71,-0.41,0.57,5.19,4.85,3.11,2.95,0.026,2.116,4.81,31.98,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,1
4553,Creative Project,1.95,152.2,9,8.15,-0.53,6.1,5.41,2.63,1.43,1.39,0.0065,1.665,4.59,24.69,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4554,Finance,6.74,333.0,7,5.24,-4.48,5.94,5.16,0.61,2.94,4.33,0.003,3.332,4.84,73.71,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4555,Creative Project,7.2,145.7,11,8.8,0.44,3.78,1.03,5.48,8.08,8.3,0.0068,1.32,8.97,86.54,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4556,Fitness,1.06,23.2,0,1.9,4.19,7.5,2.19,0.92,7.32,6.04,0.0413,0.0,7.81,32.78,Medium,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,1
4557,Studying,8.87,344.6,0,3.87,3.45,0.36,9.3,5.04,7.85,9.04,0.0029,0.0,0.7,77.9,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4558,Fitness,7.61,206.9,12,3.42,0.88,0.05,4.44,2.91,6.54,9.11,0.0048,7.896,5.56,85.83,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4559,Fitness,1.36,358.0,4,6.52,-4.21,7.91,9.46,5.96,3.06,2.62,0.0028,1.392,0.54,22.17,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4560,Studying,7.69,132.7,9,4.43,2.73,9.12,9.25,5.64,5.56,4.48,0.0075,5.013,0.75,40.97,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4561,Finance,5.01,40.1,7,1.18,2.83,8.13,3.28,1.98,8.33,4.51,0.0243,6.174,6.72,47.49,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4562,Career Choice,1.32,57.7,4,9.31,-3.43,7.16,8.6,4.06,8.13,9.24,0.017,0.276,1.4,16.09,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4563,Career Choice,6.73,18.9,11,5.2,-1.55,8.37,3.96,5.9,2.54,2.27,0.0503,5.28,6.04,46.27,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4564,Career Choice,6.86,50.9,3,3.21,-1.25,2.27,6.94,3.87,3.59,4.98,0.0193,2.037,3.06,37.13,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4565,Fitness,8.59,351.0,2,1.02,-4.83,0.9,2.86,4.86,2.17,3.12,0.0028,1.796,7.14,77.17,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4566,Health Checkup,4.74,155.5,11,8.07,-0.38,3.07,8.96,1.27,7.71,5.99,0.0064,2.123,1.04,49.25,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4567,Finance,9.21,224.6,0,9.29,3.98,6.12,3.07,4.26,9.23,4.76,0.0044,0.0,6.93,47.55,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4568,Finance,7.82,159.8,9,4.41,1.33,9.47,7.38,5.13,9.51,3.81,0.0062,5.031,2.62,58.9,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4569,Health Checkup,6.38,331.1,10,1.37,2.92,4.93,9.86,1.96,9.98,3.95,0.003,8.63,0.14,86.57,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4570,Career Choice,9.89,354.1,10,5.52,-2.35,3.05,4.66,2.94,7.45,2.06,0.0028,4.48,5.34,99.33,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4571,Creative Project,8.34,231.3,1,4.1,-2.45,4.66,7.72,1.47,8.58,5.69,0.0043,0.59,2.28,64.52,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4572,Finance,7.93,53.7,12,7.99,3.06,7.68,4.84,2.09,7.81,5.81,0.0183,2.412,5.16,63.52,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4573,Career Choice,2.15,314.4,12,6.35,2.99,9.81,7.2,2.22,3.48,1.53,0.0032,4.38,2.8,36.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4574,Creative Project,1.27,10.7,10,1.9,-2.0,3.85,3.94,5.14,9.68,3.64,0.0855,8.1,6.06,53.26,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4575,Studying,5.99,202.1,3,2.23,-2.51,7.89,4.0,1.66,4.14,4.76,0.0049,2.331,6.0,59.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4576,Studying,9.87,282.7,8,6.39,2.34,4.15,4.28,3.03,4.32,6.44,0.0035,2.888,5.72,79.88,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4577,Creative Project,2.34,2.4,12,9.8,3.41,6.15,1.01,1.41,8.29,5.2,0.2941,0.24,8.99,49.87,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4578,Finance,1.66,223.4,5,7.05,-0.18,0.08,9.23,5.29,2.04,1.71,0.0045,1.475,0.77,13.62,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4579,Creative Project,7.95,39.8,6,8.54,-2.88,3.54,6.49,1.17,1.66,4.22,0.0245,0.876,3.51,39.36,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4580,Finance,8.88,335.6,5,1.35,2.76,3.76,9.09,2.83,6.74,1.2,0.003,4.325,0.91,71.86,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4581,Finance,8.38,221.2,12,7.84,-3.79,8.02,1.58,4.02,6.43,8.47,0.0045,2.592,8.42,83.77,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4582,Fitness,1.27,211.3,4,3.65,-4.85,1.39,5.39,1.05,1.13,4.38,0.0047,2.54,4.61,50.44,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4583,Finance,6.09,53.7,10,4.72,-3.11,0.09,6.7,1.25,8.77,9.41,0.0183,5.28,3.3,79.42,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4584,Finance,8.29,152.6,3,7.25,-4.0,3.09,1.71,0.6,4.06,8.74,0.0065,0.825,8.29,68.87,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4585,Health Checkup,8.78,321.2,7,9.93,-2.24,2.66,9.79,1.32,7.49,3.63,0.0031,0.049,0.21,61.36,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4586,Health Checkup,2.99,290.0,10,9.95,-2.43,3.81,2.01,5.66,5.56,2.82,0.0034,0.05,7.99,51.11,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4587,Creative Project,5.56,272.4,6,5.47,2.09,1.34,5.86,3.67,3.82,3.8,0.0037,2.718,4.14,48.18,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4588,Fitness,4.2,104.2,7,3.34,0.58,5.84,5.4,2.18,8.17,9.54,0.0095,4.662,4.6,60.34,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4589,Finance,8.21,59.5,4,4.0,1.07,9.12,6.0,3.64,2.61,9.33,0.0165,2.4,4.0,36.21,Medium,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
4590,Career Choice,4.06,252.7,0,7.55,4.38,1.51,1.19,0.9,6.73,6.5,0.0039,0.0,8.81,48.73,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4591,Fitness,1.99,302.9,7,5.01,-1.78,2.8,2.88,4.5,6.84,7.49,0.0033,3.493,7.12,72.07,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4592,Finance,7.33,199.7,6,9.4,4.76,4.31,2.59,4.76,3.13,4.05,0.005,0.36,7.41,35.52,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4593,Studying,9.34,266.9,0,1.29,1.72,8.95,6.89,4.49,9.48,6.35,0.0037,0.0,3.11,81.93,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4594,Creative Project,2.65,233.6,6,7.24,-0.46,8.22,7.01,1.5,2.58,4.23,0.0043,1.656,2.99,22.05,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4595,Career Choice,4.26,262.7,7,8.26,-3.77,10.0,7.64,0.92,5.0,2.1,0.0038,1.218,2.36,37.57,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4596,Studying,7.0,133.5,3,4.7,3.92,8.32,6.69,0.96,1.78,4.86,0.0074,1.59,3.31,33.92,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4597,Career Choice,3.8,202.1,8,5.28,-0.42,0.68,3.91,4.18,6.48,4.14,0.0049,3.776,6.09,56.7,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4598,Creative Project,7.02,248.7,1,9.22,4.14,7.83,3.51,5.41,7.99,2.57,0.004,0.078,6.49,32.61,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4599,Finance,2.43,331.7,3,6.5,2.86,1.99,8.01,5.17,4.87,7.91,0.003,1.05,1.99,46.08,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4600,Fitness,6.8,225.2,8,4.79,0.34,7.22,5.28,1.94,7.0,5.25,0.0044,4.168,4.72,69.78,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4601,Career Choice,1.93,81.5,10,4.96,-3.63,6.93,4.96,5.68,9.5,1.33,0.0121,5.04,5.04,44.39,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4602,Finance,4.38,216.6,10,9.4,-3.72,7.33,3.82,5.17,4.56,3.97,0.0046,0.6,6.18,48.16,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4603,Career Choice,3.62,153.7,9,3.13,-4.01,9.05,1.78,2.44,6.73,5.88,0.0065,6.183,8.22,69.5,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4604,Career Choice,9.68,62.5,11,8.59,-4.01,0.41,7.45,4.02,1.09,3.21,0.0157,1.551,2.55,58.88,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
4605,Finance,3.25,84.7,5,7.66,0.5,8.67,2.3,4.04,4.85,4.19,0.0117,1.17,7.7,25.17,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4606,Fitness,2.79,326.7,7,7.61,-2.6,6.2,9.59,0.7,7.03,5.6,0.0031,1.673,0.41,52.07,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4607,Creative Project,3.89,99.3,3,1.27,-0.36,2.92,4.03,4.13,9.08,5.06,0.01,2.619,5.97,53.1,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4608,Finance,5.22,106.6,10,9.0,3.99,8.22,7.73,4.8,8.81,5.51,0.0093,1.0,2.27,38.63,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4609,Fitness,4.61,73.6,2,8.97,-2.78,7.85,9.0,4.31,2.77,3.99,0.0134,0.206,1.0,8.1,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4610,Creative Project,4.18,251.1,6,4.63,-4.44,10.0,2.68,5.46,4.03,5.11,0.004,3.222,7.32,65.65,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4611,Finance,4.85,16.8,6,6.18,1.74,0.19,9.43,4.34,4.84,9.54,0.0562,2.292,0.57,35.68,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
4612,Finance,5.62,149.9,5,8.74,2.35,1.36,7.87,1.71,3.44,1.97,0.0066,0.63,2.13,25.59,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4613,Creative Project,3.34,66.3,4,1.13,2.53,2.6,6.12,3.24,5.63,2.89,0.0149,3.548,3.88,35.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4614,Health Checkup,8.09,141.8,0,1.05,-4.33,6.6,2.4,5.43,5.39,4.49,0.007,0.0,7.6,65.62,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
4615,Studying,5.78,201.5,9,2.94,1.77,6.31,2.31,0.72,1.86,6.33,0.0049,6.354,7.69,60.64,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
4616,Studying,6.03,312.5,9,5.81,3.75,1.29,4.72,0.27,8.63,9.6,0.0032,3.771,5.28,94.3,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
